variables,explanation,example
match_id,比赛标识,"2023-温布尔登-1701 (""7"" 是轮次，""01"" 是该轮次的比赛编号)"
player1,第一位选手的名字和姓氏,Carlos Alcaraz
player2,第二位选手的名字和姓氏,Novak Djokovic
elapsed_time,从第一分开始到当前分开始的时间 (H:MM:SS),0:10:27
set_no,比赛中的局数,"1, 2, 3, 4, 或 5"
game_no,在一局中的场次,"1, 2, ...,7"
point_no,在一场比赛中的分数,"1, 2, 3... 等等."
p1_sets,选手1赢得的局数,"0, 1, 或 2"
p2_sets,选手2赢得的局数,"0, 1, 或 2"
p1_games,选手1在当前局中赢得的场数,"0, 1,...,6"
p2_games,选手2在当前局中赢得的场数,"0, 1,...,6"
p1_score,选手1在当前场比赛中的得分,"0 (love), 15, 30, 40, AD (优势)"
p2_score,选手2在当前场比赛中的得分,"0 (love), 15, 30, 40, AD (优势)"
server,发球方,"1: 选手1, 2: 选手2"
serve_no,第一次或第二次发球,"1: 第一次发球, 2: 第二次发球"
point_victor,得分者,"1 如果选手1赢，2 如果选手2赢"
p1_points_won,选手1在比赛中赢得的分数,"0, 1, 2... 等等."
p2_points_won,选手2在比赛中赢得的分数,"0, 1, 2... 等等."
game_victor,这一分赢得了一场比赛的选手,"0: 无人, 1: 选手1, 2: 选手2"
set_victor,这一分赢得了一局比赛的选手,"0: 无人, 1: 选手1, 2: 选手2"
p1_ace,选手1发出无法接触的赢球发球,0 或 1
p2_ace,选手2发出无法接触的赢球发球,0 或 1
p1_winner,选手1发出无法接触的赢球,0 或 1
p2_winner,选手2发出无法接触的赢球,0 或 1
winner_shot_type,无法接触的球的类型,"F: 正手, B: 反手"
p1_double_fault,选手1两次发球都失误并且失去了这一分,0 或 1
p2_double_fault,选手2两次发球都失误并且失去了这一分,0 或 1
p1_unf_err,选手1犯了非受迫失误,0 或 1
p2_unf_err,选手2犯了非受迫失误,0 或 1
p1_net_pt,选手1上到了网前,0 或 1
p2_net_pt,选手2上到了网前,0 或 1
p1_net_pt_won,选手1在网前赢得了这一分,0 或 1
p2_net_pt_won,选手2在网前赢得了这一分,0 或 1
p1_break_pt_missed,选手1错过了赢得选手2发球的局的机会,0 或 1
p2_break_pt_missed,选手2错过了赢得选手1发球的局的机会,0 或 1
p1_distance_run,选手1在这一分中跑动的距离（米）,"5.376, 21.384, 等等."
p2_distance_run,选手2在这一分中跑动的距离（米）,"6.485, 12.473, 等等."
rally_count,这一分中的击球次数,"1, 2, 4, 等等. (包括发球)"
speed_mph,发球速度（英里/小时）,"81, 124, 等等."
serve_width,发球方向,"B: 身体, BC: 身体/中心, BW: 身体/宽, C: 中心, W: 宽"
serve_depth,发球深度,"CTL: 接近线, NCTL: 不接近线"
return_depth,回球深度,"D: 深, ND: 不深"
